family,mechanism,technique,target_gate,transfer_to_ARGOS,input_requirements,source_candidate,pit_gate,provenance_gate,cost_gate,coverage_gate,semantic_gate,temporal_granularity_gate,sample_complexity_gate,redundancy_group,interpretability_gate,leakage_risk,computational_auditability,hyperparameter_dependency,ablation_compatible,time_feasibility,final_status,role_recommendation,justification,next_step
Forecasting,Calibration,Platt/isotonic/online calibration,H2,Calibrated incremental probability,OOS/prequential M_MOVE predictions and past labels only,Existing expanding walk-forward framework,PASS_IF_PREQUENTIAL,PASS_METHOD,PASS_R0,~111-113_AT_T3/T1,PASS,PASS_EVENT_LEVEL,PLATT/ONLINE_OK; ISOTONIC_RISKY_SMALL_N,CALIBRATION,PASS,HIGH_IF_CALIBRATED_ON_TEST,HIGH,LOW_TO_MEDIUM,YES,HIGH,GO_ROBUSTNESS,H2_CALIBRATION_ROBUSTNESS,Calibration is important for proper scoring; small sample favors parametric/online calibration over isotonic.,ART-029: pre-specify calibration method and minimum warm-up or leave M2/M_MOVE uncalibrated primary with calibration diagnostic.
Forecasting,Model pooling,Online weighted ensemble,H2,Compare robust combination versus M2,Multiple pre-specified PIT component models and past losses,ART-019 infrastructure for adaptive pooling,PASS_PREQUENTIAL,PASS_METHOD,PASS_R0,~111-113,PASS_BUT_NOT_MOVEMENT_FEATURE,PASS_EVENT_LEVEL,CONDITIONAL_FEW_EXPERTS_ONLY,MODEL_COMBINATION,PASS,MEDIUM_SELECTION,HIGH,MEDIUM,YES,HIGH,GO_CHALLENGER,H2_CHALLENGER,Infrastructure exists from M3 but previous M0+M2 pooling did not help; for EXP-07I it should remain challenger and not multiply model search.,Allow only a small fixed expert set after movement feature family freeze.
Forecasting,Disagreement,Dispersion across simple forecasters,H2,Uncertainty feature,PIT forecasts from fixed simple models at the same horizon,M0/M1-ZB/M2 prediction history from ART-018/019 and PIT event panel,PASS,PASS,PASS_R0,T3/T1_HIGH,PASS_AS_MODEL_UNCERTAINTY_NOT_MARKET_DISAGREEMENT,PASS_EVENT_LEVEL,PASS,BELIEF_DISAGREEMENT,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CHALLENGER,H2_CONTEXT_CHALLENGER,Feasible from existing forecasts but should be labeled model disagreement not participant disagreement.,Pre-specify one dispersion measure if retained; do not conflate with prediction-market tape disagreement.
Signal processing,Change detection,BOCPD,H2,Posterior of regime shift,Dense chronological PM price/flow observations per contract,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_ONLINE,PRICE_PASS_TRADE_CONDITIONAL,PASS_R0,DENSE_SERIES_NOT_AUDITED,PASS,REQUIRES_DENSE_SERIES,CONDITIONAL,CHANGE_DETECTION,PASS,MEDIUM_HAZARD_PRIOR_TUNING,HIGH,MEDIUM_HIGH,YES,MEDIUM_LOW,CONDITIONAL,H2_CHALLENGER,Method is online and aligned but current approved panel is sparse at fixed horizons; dense per-contract series must first be proven.,ART-028 dense-history coverage gate; if passed compare against simpler CUSUM/jump score.
Signal processing,Sequential detection,CUSUM/score-CUSUM,H2,Accumulate weak abnormal evidence,Ordered residual or movement series and pre-event baseline parameters,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_SEQUENTIAL,PRICE_PASS_TRADE_CONDITIONAL,PASS_R0,DENSE_SERIES_NOT_AUDITED,PASS,REQUIRES_MORE_THAN_4_POINTS_FOR_USEFULNESS,PASS_SIMPLE,CHANGE_DETECTION,PASS,MEDIUM_REFERENCE_FIT,HIGH,LOW_MEDIUM,YES,MEDIUM,CONDITIONAL,H2_CHALLENGER,Simpler than BOCPD and attractive if dense data exists; fixed four-horizon snapshots are too coarse for a true sequential alarm.,ART-028: establish observation density; predefine reference distribution from prior data only.
Signal processing,Novelty,Matrix Profile discord score,H2,Model-free unusual trajectory score,Dense regularly/consistently sampled PM trajectory; preprocessing and window length frozen,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IF_WINDOW_USES_PAST_ONLY,PASS_DAT002,PASS_R0,DENSE_REGULAR_SERIES_NOT_AUDITED,PASS,FAIL_FOR_CURRENT_4_HORIZON_PANEL,HIGH_FOR_MULTIVARIATE_VARIABLE_LENGTH,PATTERN_NOVELTY,PASS,HIGH_WINDOW_SELECTION,HIGH,HIGH,YES,LOW,DEFERRED,H2_CHALLENGER,Interesting pattern representation but current sparse fixed-horizon panel does not support robust implementation and tuning before the deadline.,Reopen only if ART-028 yields dense standardized trajectories and simpler anomaly methods survive first.
Signal processing,Patterns,Matrix Profile motif similarity,H2,Historical-pattern similarity,Dense regularly/consistently sampled PM trajectory; preprocessing and window length frozen,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IF_WINDOW_USES_PAST_ONLY,PASS_DAT002,PASS_R0,DENSE_REGULAR_SERIES_NOT_AUDITED,PASS,FAIL_FOR_CURRENT_4_HORIZON_PANEL,HIGH_FOR_MULTIVARIATE_VARIABLE_LENGTH,PATTERN_NOVELTY,PASS,HIGH_WINDOW_SELECTION,HIGH,HIGH,YES,LOW,DEFERRED,H2_CHALLENGER,Interesting pattern representation but current sparse fixed-horizon panel does not support robust implementation and tuning before the deadline.,Reopen only if ART-028 yields dense standardized trajectories and simpler anomaly methods survive first.
Signal processing,Multi-scale,Wavelet decomposition,H2,Separate short/medium-horizon movement,Dense regularly/consistently sampled PM trajectory; preprocessing and window length frozen,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IF_WINDOW_USES_PAST_ONLY,PASS_DAT002,PASS_R0,DENSE_REGULAR_SERIES_NOT_AUDITED,PASS,FAIL_FOR_CURRENT_4_HORIZON_PANEL,HIGH_WITH_SHORT_SPARSE_SERIES,MULTISCALE,PASS,HIGH_WINDOW_SELECTION,HIGH,HIGH,YES,LOW,DEFERRED,H2_CHALLENGER,Interesting pattern representation but current sparse fixed-horizon panel does not support robust implementation and tuning before the deadline.,Reopen only if ART-028 yields dense standardized trajectories and simpler anomaly methods survive first.
Network,Nonlinear dependence,Mutual information lead-lag,H4,Nonlinear cross-market propagation,Synchronized PM and equity time series at multiple lags with enough observations,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_IN_PRINCIPLE,PASS,PASS_R0,MISMATCHED_SPARSE_PM_DAILY_EQ,PASS,FAIL_FOR_CURRENT_RESOLUTION,HIGH_NONPARAMETRIC,H4_LEADLAG,PASS,HIGH_LAG_SEARCH,HIGH,HIGH,YES,LOW,NO_GO_SAMPLE_COMPLEXITY,DEFER,Current temporal resolution and sample size are inadequate for reliable nonlinear MI lead-lag estimation.,Use event-time regression first; revisit only with dense synchronized data.
Network,Directed information,Transfer entropy,H4,Directional propagation diagnostic,Dense synchronized PM/equity time series; discretization/estimator choices frozen,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_IN_PRINCIPLE,PASS,PASS_R0,MISMATCHED_SPARSE_PM_DAILY_EQ,PASS,FAIL_CURRENT_RESOLUTION,VERY_HIGH,H4_LEADLAG,PASS,HIGH_LAG_BINNING_SEARCH,MEDIUM,HIGH,YES,LOW,NO_GO_SAMPLE_COMPLEXITY,DEFER,Directed-information estimation is too data-hungry for 117 event-level observations and mismatched temporal grids.,Do not use in current challenge; retain as future research.
Network,Lead-lag,Event-time lag regression,H4,Prediction-market to equity timing,Validated H2 signal snapshots + safe event time + daily equity returns,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS_AFTER_H2,PASS,PASS_R0,~111-116_DEPENDING_SIGNAL,PASS,PASS_EVENT_DAILY,PASS_PARSIMONIOUS,H4_LEADLAG,PASS,MEDIUM_HORIZON_SEARCH,HIGH,LOW_IF_LAGS_FROZEN,YES,HIGH,GO_CORE_CANDIDATE,CORE_H4,Best match to current data resolution and causal chain; can test timing without high-frequency assumptions.,If H2 passes freeze a minimal lag grid before reading H4 returns.
Causal inference,Counterfactual,Synthetic control,H4,Alternative abnormal-return benchmark,Long pre-event equity history for treated asset and donor pool; donor eligibility frozen,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_PRE_EVENT_FIT_ONLY,PASS_DAT007,PASS_R0,116_TREATED; DONOR_POOL_106_SYMBOLS_BUT_EVENT_SELECTION_BIASED,PARTIAL_DONOR_UNIVERSE,PASS_DAILY,CONDITIONAL_HIGH,H4_COUNTERFACTUAL,PASS,HIGH_DONOR_SELECTION_TUNING,HIGH,HIGH,YES,MEDIUM_LOW,CONDITIONAL,H4_ROBUSTNESS,Daily history exists but the donor universe is itself an event-selected set and synthetic-control tuning could overfit.,Use only as secondary robustness with frozen donor rules; SPY-adjusted return remains primary.
Causal inference,Negative control,Reverse-direction equity-to-PM test,H4,Detect reverse causality,PIT equity changes before PM signal timestamp plus subsequent PM movement,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_COARSE,PASS,PASS_R0,LIMITED_BY_PM_HORIZONS,PASS_NEGATIVE_CONTROL,COARSE_DAILY,PASS_SIMPLE,H4_CAUSAL_CONTROL,PASS,LOW_IF_DIRECTION_FROZEN,HIGH,LOW,YES,HIGH,GO_ROBUSTNESS,H4_NEGATIVE_CONTROL,A coarse reverse-direction control is feasible with existing data and helps detect equity-leading-PM explanations.,If H2 passes predefine temporal ordering and one reverse-direction specification.
Causal inference,Matched controls,Matched event study,H4,Robust counterfactual response,Pre-event matching covariates and donor event/equity returns,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS_PRE_EVENT_MATCHING,PASS,PASS_R0,~115-117,PASS_WITH_LIMITED_COVARIATES,PASS_DAILY,CONDITIONAL_SMALL_DONOR_POOL,H4_COUNTERFACTUAL,PASS,HIGH_IF_MATCH_RULE_TUNED,HIGH,MEDIUM,YES,MEDIUM,GO_ROBUSTNESS,H4_ROBUSTNESS,Feasible using pre-event return/volatility and calendar covariates but donor pool and matching dimensions must stay small.,Freeze matching variables and distance rule before H4 outcomes.
Online learning,Adaptive weighting,Regret-based expert weighting,H2,Adaptive point-in-time model combination,Small fixed set of PIT models and past proper-scoring losses,ART-019 adaptive-pooling infrastructure,PASS_PREQUENTIAL,PASS_METHOD,PASS_R0,~111-113,PASS,PASS_EVENT_LEVEL,CONDITIONAL_FEW_EXPERTS,MODEL_COMBINATION,PASS,MEDIUM_EXPERT_SET_SELECTION,HIGH,MEDIUM,YES,HIGH,GO_CHALLENGER,H2_CHALLENGER,Technically feasible and PIT but overlaps online weighted ensemble and should be one challenger family not multiple trials.,Merge with online ensemble family; freeze one regret/update rule if retained.
Online learning,Concept drift,Conformal/change-drift monitor,H2,Detect changing data-generating process,Sequential residual/nonconformity scores from PIT observations,DAT-002 CLOB price history + future M_MOVE residuals,PASS_ONLINE,PASS_FOR_PRICE,PASS_R0,SEQUENCE_LENGTH_LIMITED_EVENT_LEVEL,PASS,CONDITIONAL,HIGH_FOR_RELIABLE_DRIFT,CHANGE_DETECTION,PASS,MEDIUM_SCORE_SELECTION,HIGH,MEDIUM,YES,LOW_MEDIUM,DEFERRED,ROBUSTNESS_FUTURE,Useful for deployment drift but current challenge sample is small and the primary need is static H2 validation.,Defer until after core H2 unless deployment monitoring becomes required.
Robust optimization,Parameter uncertainty,Worst-case expected return,H5,Discount estimated alpha by uncertainty,H4/H5 expected abnormal return and uncertainty interval from training/OOS design,Bootstrap/uncertainty infrastructure already used in ARGOS,PASS_AFTER_H4,PASS_METHOD,PASS_R0,DEPENDENT_ON_H4,PASS,PASS_EVENT_LEVEL,PASS_SIMPLE_LOWER_BOUND,H5_UNCERTAINTY,PASS,LOW_IF_RULE_FROZEN,HIGH,LOW_MARGIN,YES,HIGH,GO_CORE_CANDIDATE,CORE_H5,Directly implements ART-027's requirement that expected return exceed costs and uncertainty.,Define lower-confidence-bound utility rule before H5 test.
Robust optimization,Regularization,Turnover penalty,H5,Reduce fragile trading,Candidate position path trade count/notional and frozen cost coefficients,Existing H5/backtest framework,PASS,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,PASS,PASS,H5_COST_CONTROL,PASS,LOW,HIGH,LOW_IF_COEFF_FROZEN,YES,HIGH,GO_CORE_CANDIDATE,CORE_H5,Turnover is already an immutable economic consideration and is straightforward to audit.,Freeze turnover/cost formula before H5.
Robust optimization,Sparsity,Cardinality/sparse decision,H5,Avoid marginal low-confidence positions,Candidate scores expected returns uncertainty/cost; position cap or sparsity parameter,Future H5 outputs,PASS,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,PASS,PASS,ABSTENTION,PASS,HIGH_IF_SPARSITY_TUNED,HIGH,MEDIUM,YES,HIGH,NO_GO_REDUNDANT,DROP,For event-driven single-name decisions sparse/cardinality control largely duplicates confidence thresholds and no-trade selection without adding a distinct mechanism.,Use formal abstention/risk-coverage instead.
Kelly,Position sizing,Fractional Kelly,H5,Convert edge and uncertainty to size,Calibrated edge and payoff distribution; capital allocation assumptions,Future H5 outputs,PASS_AFTER_H4,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,PASS,HIGH_ESTIMATION_RISK_SMALL_N,H5_SIZING,PASS,MEDIUM,HIGH,MEDIUM_FRACTION,YES,HIGH,GO_CHALLENGER,H5_SIZING_CHALLENGER,Principled sizing but sensitive to edge estimation; equal-notional remains safer primary with small samples.,If H5 passes strongly test one pre-specified fractional-Kelly sensitivity never primary selection criterion.
Kelly,Estimation risk,Bayesian/uncertainty-adjusted Kelly,H5,Shrink size when confidence is weak,Posterior distribution of edge/payoff with priors and calibration,Future H5 outputs,PASS_IN_PRINCIPLE,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,PASS,HIGH,H5_SIZING,PASS,MEDIUM_PRIOR_SELECTION,MEDIUM_HIGH,HIGH,YES,LOW_MEDIUM,DEFERRED,FUTURE_CHALLENGER,Adds estimation-risk handling but is excessive relative to the current sample/deadline before basic H5 viability is established.,Use lower-confidence-bound utility first; revisit after a successful H5.
Selective classification,Abstention,Risk-coverage curve,H5,Formal trade/no-trade evaluation,OOS confidence/utility score and realized H5 outcome for evaluation; threshold trained only on prior data,Future H5 outputs; selective-classification method,PASS,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,PASS_EVENT_LEVEL,PASS,ABSTENTION,PASS,HIGH_IF_THRESHOLD_SELECTED_ON_TEST,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,CORE_H5_EVALUATION,Directly formalizes the long/short/no-trade architecture and shows the risk/return cost of abstention.,Pre-register confidence score and coverage grid before H5.
Meta-labeling,Trade filter,Secondary trade/no-trade model,H5,Separate directional signal from tradability,Large enough labeled training set of primary-signal trades and meta-label outcomes,Future H5 outputs,PASS_NESTED_ONLY,PASS_METHOD,PASS_R0,LIKELY_SMALL_~100_EVENTS,PASS,PASS,FAIL_HIGH_FOR_SECOND_MODEL,ABSTENTION,PASS,VERY_HIGH_META_OVERFIT,HIGH,HIGH,YES,MEDIUM,NO_GO_SAMPLE_COMPLEXITY,DEFER,With roughly 117 events a second learned trade filter materially increases overfit risk and is unnecessary before simple abstention is tested.,Use deterministic uncertainty-aware no-trade rule instead.
Optimal execution,Market impact,Almgren-Chriss style cost layer,H5,Execution-aware net utility,"Order size, ADV, volatility, impact parameters and execution horizon",DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_FOR_DAILY_ADV_VOL,PASS_DAT007,PASS_R0,~115-116,PARTIAL_NO_EMPIRICAL_IMPACT_CALIBRATION,DAILY_APPROX_ONLY,PASS_MODEL,EXECUTION_COST,PASS,LOW,HIGH,HIGH_IMPACT_COEFFICIENTS,YES,MEDIUM_LOW,CONDITIONAL,H5_ROBUSTNESS_ONLY,Daily OHLCV supports rough capacity/ADV constraints but not empirical impact calibration; fixed cost assumptions remain more transparent.,If H5 passes use scenario-based impact sensitivity rather than claiming calibrated Almgren-Chriss execution.
Optimal execution,Adaptive execution,RL execution challenger,H5,Dynamic implementation only after alpha gate,High-frequency state/action/reward execution data or credible simulator,No approved current source,POSSIBLE,FAIL_CURRENT_DATA,PASS_R0,NONE,FAIL_NO_EXECUTION_ENVIRONMENT,FAIL,FAIL,EXECUTION_COST,PASS,HIGH_SIMULATOR_BIAS,LOW,VERY_HIGH,YES,FAIL,NO_GO_SAMPLE_COMPLEXITY,DROP_CURRENT_CHALLENGE,No high-frequency execution dataset/simulator exists and this is far downstream of an unvalidated H4/H5.,Exclude from current challenge; future deployment research only.
Industrial anomaly detection,Sequential false alarm,Conformal martingale,H2,Anytime-valid abnormality evidence,Sequential nonconformity scores with exchangeability/online assumptions addressed,DAT-002 CLOB price history + ART-004/005 safe cutoffs; optionally DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_ONLINE,PASS_OR_CONDITIONAL,PASS_R0,DENSE_SEQUENCE_NOT_AUDITED,PASS,CONDITIONAL_DENSE,CONDITIONAL,CHANGE_DETECTION,PASS,MEDIUM_NONCONFORMITY_DESIGN,HIGH,MEDIUM,YES,LOW_MEDIUM,DEFERRED,H2_ROBUSTNESS_FUTURE,Attractive anytime evidence concept but adds assumptions and complexity before dense sequence availability is known.,Defer behind CUSUM/BOCPD; revisit only if dense sequential data is confirmed.
Industrial anomaly detection,Discord detection,Multivariate anomaly distance,H2,Pattern novelty without outcome labels,Low-dimensional PIT movement vector and training-only location/covariance or robust distance,DAT-002 CLOB price history + ART-004/005 safe cutoffs; DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_PREQUENTIAL,PRICE_PASS_TRADE_CONDITIONAL,PASS_R0,PRICE_HIGH; TRADE_UNKNOWN,PASS,PASS_EVENT_LEVEL,CONDITIONAL_DIMENSION<=SMALL,ANOMALY_RESIDUALIZATION,PASS,HIGH_IF_COVARIANCE_FULL_SAMPLE,HIGH,LOW_TO_MEDIUM,YES,HIGH,GO_CHALLENGER,H2_CHALLENGER,A simple shrinkage/Mahalanobis-style novelty score is feasible if dimension is kept small and fit strictly on prior events.,After ART-028 group surviving features and allow one pre-specified multivariate distance challenger.
Governance,Multiple testing,Deflated Sharpe Ratio,Governance,Correct performance for trial selection,"Sharpe estimate, non-normality moments and number/effective number of tried strategies",Future H5 results + trial ledger,N/A,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5,PASS,N/A,CONDITIONAL_SMALL_N,GOV_MULTIPLE_TESTING,PASS,CONTROL,HIGH,LOW,YES,HIGH,GO_ROBUSTNESS,GOVERNANCE_H5,Useful only if Sharpe is reported and multiple strategy trials exist; does not substitute pre-registration.,Maintain exact trial ledger now; apply DSR if H5 reports Sharpe.
Governance,Backtest overfit,PBO/CSCV,Governance,Estimate selection-overfit risk,Performance matrix across sufficiently many strategy configurations and time blocks,Future H5 trials,N/A,PASS_METHOD,PASS_R0,DEPENDENT_ON_TRIAL_COUNT,PASS,N/A,CONDITIONAL_NEEDS_ENOUGH_BLOCKS/TRIALS,GOV_MULTIPLE_TESTING,PASS,CONTROL,HIGH,LOW,YES,MEDIUM,CONDITIONAL,GOVERNANCE_H5_IF_APPLICABLE,Potentially valuable but unstable/unnecessary if the frozen H5 family contains only a few configurations.,Apply only if trial count/block structure supports CSCV; otherwise report trial ledger + multiplicity control.
Governance,Experiment accounting,Trial ledger,Governance,Count every tested configuration,Every model/feature/threshold/horizon/configuration actually evaluated,ART-011 Decision Log/GenAI ledger + repository commits,N/A,PASS,PASS_R0,MUST_BE_COMPLETE,PASS,N/A,N/A,GOV_RESEARCH_ACCOUNTING,PASS,CONTROL,HIGH,NONE,YES,HIGH,GO_CORE_CANDIDATE,MANDATORY_GOVERNANCE,Essential to quantify research degrees of freedom and prevent selective reporting.,Start/refresh ledger before any ART-028/029 implementation test.
Governance,Placebo,Random-null/placebo tests,Governance,Test whether mechanism exceeds chance,Frozen signal/model plus pre-specified null permutation/placebo preserving temporal structure,Existing validation framework,PASS_IF_NULL_RESPECTS_TIME,PASS_METHOD,PASS_R0,SAME_AS_PRIMARY,PASS,PASS,PASS,GOV_FALSIFICATION,PASS,CONTROL_BUT_NULL_DESIGN_CAN_BE_TUNED,HIGH,LOW,YES,HIGH,GO_ROBUSTNESS,MANDATORY_ROBUSTNESS,Strong falsification tool if null preserves date clustering and event structure.,ART-029: freeze at least one temporal/event placebo before H2 execution.
Governance,Pre-registration,Frozen feature/model family,Governance,Prevent outcome-driven specification,Complete pre-outcome feature universe model family metrics gates and stop rules,ART-027 + ART-029 + current audit,PASS,PASS,PASS_R0,N/A,PASS,N/A,N/A,GOV_PREREGISTRATION,PASS,CONTROL,HIGH,NONE,YES,HIGH,GO_CORE_CANDIDATE,MANDATORY_GOVERNANCE,Already required by ART-027 and should remain the primary protection against outcome-driven specification.,Complete this implementation audit resolve conditional data gates then freeze ART-029 before any H2 outcome evaluation.
